지역,매장명,주소,위도,경도
대구,칠곡3지구점,"대구광역시 북구 동천로 133, 1층(동천동)",35.94346254,128.5606083
제주,서귀포중앙점,제주특별자치도 서귀포시 중앙로 56(서귀동),33.24971063,126.5617761
서울,연남숲길점,서울특별시 마포구 동교로 235-1(연남동),37.56105816,126.9241067
경남,김해율하점,경상남도 김해시 율하2로236번길 44-1(율하동),35.17614709,128.8213999
부산,부산남천점,부산광역시 수영구 수영로 379(남천동),35.14087786,129.106245
경기,일산가좌점,경기도 고양시 일산서구 가좌1로 8가좌마을5단지 상가동 1층 108호(가좌동),,
충남,불당신도시점,"충청남도 천안시 서북구 불당25로 192, 115호(불당동)",36.8182903,127.1089566
부산,부산동구청점,부산광역시 동구 고관로 95-1(수정동),35.12765218,129.0452309
충남,천안터미널점,충청남도 천안시 동남구 만남로 20(신부동),36.81844338,127.1542463
경북,금오공대점,경상북도 구미시 대학로 52-3(거의동),36.1408311,128.3961405
서울,수색자이점,서울특별시 은평구 수색로 217디엠씨 자이1단지(DMC 자이1) 110호-111호(수색동),,
인천,인천신현점,"인천광역시 서구 원창로 194, 104-105호(신현동)",37.51748341,126.6708188
경기,부천송내로데오점,"경기도 부천시 상일로94번길 35삼익PLAZA 105호, 106호(상동)",,
인천,계산역점,인천광역시 계양구 경명대로 1088(계산동),37.54304051,126.7277185
경기,일산동구청점,경기도 고양시 일산동구 정발산로 38장항동이스턴시티 121호,,
경기,목감신도시점,경기도 시흥시 목감남서로 9-27키움프라자 108호(조남동),,
충남,아산지중해마을점,충청남도 아산시 탕정면 탕정면로8번길 97-2,36.79829981,127.0616858
강원,인제점,강원도 인제군 인제읍 인제로 194,38.06885897,128.1722576
서울,당산역점,"서울특별시 영등포구 양평로 67, 109호(당산동5가)",37.53493508,126.8993117
경기,의정부민락점,경기도 의정부시 오목로225번길 157폴리프라자3 1층 106호(민락동),,
경기,동탄SRT역점,경기도 화성시 동탄오산로 82퍼스트프라자 109호(오산동),,
경기,부천 심곡본동점,"경기도 부천시 성주로 175, 1층(심곡본동)",37.47889567,126.7756998
부산,광안시장점,부산광역시 수영구 수영로603번길 4(광안동),35.15976633,129.1133206
인천,구월로데오점,"인천광역시 남동구 예술로 126, 105호(구월동)",37.44512955,126.7008867
경북,포항오천점,경상북도 포항시 남구 오천읍 정몽주로 651,35.97598094,129.4135124
경기,김포사우점,경기도 김포시 사우중로 78밀레니엄프라자 107호(사우동),,
경남,진주평거점,경상남도 진주시 평거로5번길 24(평거동),35.17331147,128.0613043
대구,대구유천점,대구광역시 달서구 조암남로 158그랑에비뉴 1층 109호(유천동),,
대전,대전노은점,대전광역시 유성구 노은로 158그랜드타운 1층 111호(지족동),,
경남,양산석산점,"경상남도 양산시 동면 금오13길 46-5, 1층 104호",35.31987344,129.0252636
대전,둔산동점,대전광역시 서구 대덕대로 179굿모닝엠제이피부과빌딩 104호(둔산동),,
부산,해운대좌동점,부산광역시 해운대구 대천로103번길 47대림아파트1차아파트 주상가 109호(좌동),,
경기,동탄남광장점,경기도 화성시 동탄중심상가1길 9월드프라자 제 1층 109호(반송동),,
경기,양평용문점,경기도 양평군 용문면 용문역길 26(용문역 앞),37.48258591,127.5934407
경남,진주혁신점,경상남도 진주시 사들로 52 배재빌딩 102호(충무공동),,
경기,배곧이지더원점,경기도 시흥시 해송십리로 472-12배곧이지더원1차 상가 1동 105호,,
경기,포천일동점,경기도 포천시 일동면 화동로1051번길 4-3,37.95760801,127.3171712
경기,수원인계점,경기도 수원시 팔달구 인계로 166번길 48-21인계샤르망오피스텔 1층,,
경남,양산물금점,경상남도 양산시 물금읍 물금로 75이지더원 그랜드파크 112호,,
광주,광주상무지구점,"광주광역시 서구 상무연하로 75, 1층(치평동)",35.15495679,126.8498511
경기,파주봉일천점,경기도 파주시 조리읍 봉천로 34,37.74376751,126.8080739
경기,화성병점점,경기도 화성시 효행로 1073 거성프라자 108호(진안동),,
경남,김해삼계점,"경상남도 김해시 삼계중앙로 39, 103호(삼계동)",35.26083064,128.8693813
경기,김포마송점,경기도 김포시 통진읍 김포대로2244번길 20마송프라자 1층,,
경북,구미확장단지점,경상북도 구미시 산동면 신당1로2길 15바젤메디프라자 2차 110호,,
경북,경주용황점,경상북도 경주시 용황구획4길 35에이치프라자 1층 103호(용강동),,
경기,가평현리점,경기도 가평군 조종면 현창로38번길 7,37.81885866,127.3486515
부산,괴정점,"부산광역시 사하구 장평로 448, 1층(괴정동)",35.09808579,128.9866733
인천,인천효성점,"인천광역시 계양구 안남로 548, 104호(효성동)",37.53192328,126.711071
경기,신원당점,경기도 고양시 덕양구 고양대로1384번길 9신원당프라자 지상1층 3호,,
서울,발산역점,"서울특별시 강서구 강서로 380, 101호(등촌동)",37.559471,126.8388712
서울,H비지니스파크점,"서울특별시 송파구 법원로11길 25, 108호(문정동)",37.48494806,127.1162277
부산,부산남구청점,부산광역시 남구 못골로41번길 13대연2차동원로얄듀크 상가 205동 110호(대연동),,
경기,안산문화광장점,경기도 안산시 단원구 광덕대로 154로데오타운 142호(고잔동),,
인천,서창1지구점,"인천광역시 남동구 매소홀로 1127 (서창동, 수팰리스)",37.43858897,126.748147
대구,시지신매점,대구광역시 수성구 신매로 91한라협화타운 제 상가 111동 105호(신매동),,
경기,배곧유호엔시티점,경기도 시흥시 서울대학로278번길 43-7배곧 유호 N-CITY 1차 136호(정왕동),,
인천,임학역점,인천광역시 계양구 장제로 893(임학동),37.54660183,126.739603
부산,대연점,부산광역시 남구 수영로 262(대연동),35.13533087,129.0953599
인천,만수역점,인천광역시 남동구 구월로 358(만수동),37.45486655,126.7303387
경기,용인풍덕천점,경기도 용인시 수지구 문인로 57삼익상가동 제1층 104호,,
부산,양정점,부산광역시 부산진구 중앙대로 898(양정동),35.17036829,129.0694733
충북,진천점,충청북도 진천군 진천읍 상산로 85,36.85481217,127.4435871
경기,일산가로수길점,"경기도 고양시 일산서구 주엽로 80, E동 113호(대화동)",37.66606251,126.7564358
경기,태전아이파크점,경기도 광주시 태봉로 110태전4지구 C 3블록 106호(태전동),,
경기,하남미사점,경기도 하남시 미사강변대로226번안길 25디럭스프라자Ⅰ 1층 111호(망월동),,
