지역,매장명,주소,위도,경도
충북,진천점,충청북도 진천군 진천읍 상산로,36.8546795,127.4375438
경기,일산가로수길점,경기도 고양시 일산서구 주엽로,37.6673872,126.7553436
경기,태전아이파크점,경기도 광주시 태봉로 110태전4지구,,
경기,하남미사점,경기도 하남시 미사강변대로226번안길 25디럭스프라자Ⅰ,,
인천,남동인더스파크역점,인천광역시 남동구 은청로 4-7(고잔동),,
경기,구리인창점,경기도 구리시 건원대로 95,37.6106154,127.1379678
부산,서면롯데점,부산광역시 부산진구 가야대로784번길 11(부전동),,
경남,거제중곡점,"경상남도 거제시 중곡로 43,",34.89654055,128.62982578827243
경기,부천역점,경기도 부천시 부일로 460시네마존,,
서울,사보이시티점,서울특별시 마포구 월드컵북로54길 17130호(상암동,,
경남,마산산호점,경상남도 창원시 마산합포구 산호북17길,35.220299,128.5852021
인천,인천동춘점,인천광역시 연수구 앵고개로264번길 41한양,,
경기,수원영통점,경기도 수원시 영통구 청명남로,37.2524514,127.0753938
인천,부평로데오점,인천광역시 부평구 시장로 17(부평동),,
충남,내포신도시점,충청남도 홍성군 홍북읍 청사로,36.6514817,126.6772696
서울,화양점,"서울특별시 광진구 광나루로 361,",37.5453891,127.0805575
경남,거제고현점,경상남도 거제시 거제중앙로 1919(고현동),,
제주,연동점,제주특별자치도 제주시 과원북2길 48(연동),33.4789946,126.4889945
서울,잠실역지하쇼핑센터점,"서울특별시 송파구 올림픽로 지하265,",,
강원,속초중앙시장점,강원도 속초시 중앙로147번길 15(중앙동),,
서울,동소문점,서울특별시 성북구 아리랑로 14(동선동4가),,
전남,여수학동점,전라남도 여수시 시청동3길 10(학동),,
경기,서정마을점,경기도 고양시 덕양구 서정마을1로,37.6189403,126.8461446
부산,가야점,"부산광역시 부산진구 대학로 12,",35.1549392,129.0382673
경기,용인강남대점,경기도 용인시 기흥구 강남로,37.2704606,127.1265846
인천,송도점,"인천광역시 연수구 신송로125번길 13,",37.39460955,126.65116305000001
경기,안성공도점,경기도 안성시 공도읍 송원길,37.0072596,127.1723665
인천,인천논현에코점,"인천광역시 남동구 논고개로 77,",37.416058,126.7271037
인천,국제성모병원점,"인천광역시 서구 탁옥로 105,",37.5438931,126.6752828
인천,검단사거리점,"인천광역시 서구 완정로 153,",37.6014715,126.6587073
서울,미아수유시장점,서울특별시 강북구 솔매로45길 95(미아동),,
경기,오포점,경기도 광주시 오포읍 양벌로,37.3777614,127.253618
경남,현동점,경상남도 창원시 마산합포구 현동4길,35.1515322,128.5502818
부산,명지점,부산광역시 강서구 명지국제12로29번길 5,35.1053373,128.92447
제주,동홍동점,제주특별자치도 서귀포시 동홍로 98,33.2555753,126.5677254
경기,수원매탄점,경기도 광주시 오포읍 양벌로,37.3777614,127.253618
경기,위례신도시점,경기도 성남시 수정구 위례광장로,37.4724689,127.1433305
경기,용인보라동점,경기도 용인시 기흥구 한보라1로,,
강원,홍천점,강원도 홍천군 홍천읍 홍천로5길,37.6898028,127.8830869
서울,이수태평점,서울특별시 동작구 동작대로27길 20(사당동),,
경기,파주문산점,경기도 파주시 문산읍 문향로67번길,37.8583299,126.7841912
경기,고양화정점,경기도 고양시 덕양구 화신로272번길,37.6327162,126.8315533
제주,함덕해수욕장점,제주특별자치도 제주시 조천읍 조함해안로,,
인천,청라스퀘어7점,"인천광역시 서구 청라루비로 76,",37.5264214,126.6411467
경기,동탄영천점,"경기도 화성시 지산1길 11-10,",,
서울,가산 SK V1점,"서울특별시 금천구 가산디지털1로 171,",37.4818877,126.8809178
제주,제주중문점,제주특별자치도 서귀포시 천제연로 182(중문동),,
서울,문정아이파크점,"서울특별시 송파구 법원로4길 6,",37.4828248,127.1226576
경기,구리갈매점,경기도 구리시 경춘북로 252갈매역아이파크841동,,
인천,영종운서역점,"인천광역시 중구 신도시남로142번길 6,",37.4938877,126.4919643
경기,군포당정점,경기도 군포시 고산로151번길 8당정메디컬빌딩,,
전북,전북정읍점,전라북도 정읍시 중앙로 56,35.5612118,126.8632579
부산,해운대백병원점,부산광역시 해운대구 좌동순환로 252대원아파트,,
인천,인천만수점,인천광역시 남동구 담방로 36(만수동),,
경기,용인에버랜드역점,경기도 용인시 처인구 포곡읍,37.2778094,127.2308608
경기,수원아주대점,경기도 수원시 영통구 아주로,37.2766324,127.0444677
인천,청라심곡천점,인천광역시 서구 보석로11번안길 11(청라동),,
인천,루원시티점,"인천광역시 서구 봉오재1로 49,",37.523534,126.6678183
인천,청라홍익점,"인천광역시 서구 중봉대로586번길 9-4,",37.5320949,126.6509323
경기,안성진사리점,경기도 안성시 공도읍 진건중길,36.9921338,127.1414973
서울,한성대입구역점,서울특별시 성북구 동소문로 9(동소문동1가),,
인천,인천당하점,"인천광역시 서구 청마로167번길 9,",37.593012,126.6747046
광주,광주하남2지구점,광주광역시 광산구 용아로379번길 29(산정동),,
인천,인천마전점,"인천광역시 서구 완정로 35,",37.5955814,126.6700913
경기,남양주호평점,"경기도 남양주시 늘을2로 26,",37.6550951,127.2441133
경기,의정부동오마을점,경기도 의정부시 추동로19번길 7(신곡동),,
경기,은행로데오점,경기도 시흥시 은행로155번길 16(은행동),,
인천,청라경서점,"인천광역시 서구 청라커낼로 264,",37.5215468,126.6295641
인천,모래내시장점,인천광역시 남동구 구월로276번길 20(구월동),,
경기,안성명동점,경기도 안성시 중앙로389번길 23(대천동),,
충남,논산취암점,충청남도 논산시 중앙로410번길 11(취암동),,
경남,개양오거리점,경상남도 진주시 가좌길74번길 12(가좌동),,
경기,용인동백점,경기도 용인시 기흥구 동백중앙로,37.2713653,127.1526133
경기,화성향남2지구점,경기도 화성시 향남읍 발안양감로,37.1129928,126.9209257
인천,부평시장역점,인천광역시 부평구 부평대로 67-2(부평동),,
서울,반포고투몰점,"서울특별시 서초구 신반포로 지하200,",,
부산,서면롯데호텔점,부산광역시 부산진구 부전로 64(부전동),,
경기,안산본오점,경기도 안산시 상록구 샘골로,37.2891807,126.863557
인천,인천삼산점,인천광역시 부평구 길주로 639(삼산동),,
경기,오산수청점,"경기도 오산시 내삼미로 93,",37.1668933,127.0670891
서울,노원역점,서울특별시 노원구 노해로 459(상계동),,
부산,개금시장점,부산광역시 부산진구 가야대로 480-1(개금동),,
부산,장전역점,부산광역시 금정구 중앙대로1719번길 30(부곡동),,
경기,죽전보정점,경기도 용인시 기흥구 죽전로,37.3204988,127.1155571
경기,포천신읍점,경기도 포천시 구절초로 20(신읍동),,
제주,제주남원점,제주특별자치도 서귀포시 남원읍 태위로,,
경기,수원고색산업단지점,경기도 수원시 권선구 산업로,37.2407267,126.976775
서울,구로깔깔거리점,서울특별시 구로구 시흥대로 557(구로동),,
제주,제주서홍점,제주특별자치도 서귀포시 중앙로 199(서홍동),33.2546735,126.5610815
경기,일산라페스타점,경기도 고양시 일산동구 무궁화로,37.6730832,126.7867351
경기,부천상동점,"경기도 부천시 상동로 113,",37.5074692,126.7530373
강원,원주단구점,강원도 원주시 서원대로 392(단구동),,
경기,옥정신도시점,"경기도 양주시 옥정동로7나길 15,",37.8204794,127.0937336
전남,나주빛가람점,전라남도 나주시 상야1길 7예가람타워,,
인천,인천산곡점,인천광역시 부평구 마장로 310(산곡동),37.511995999999996,126.70314652492877
서울,위례와이즈더샵점,"서울특별시 송파구 위례광장로 270,",37.4742312,127.1434465
광주,조선대점,광주광역시 동구 필문대로273번길 5(동명동),,
부산,해운대NC점,부산광역시 해운대구 해운대로 813(좌동),,
서울,화곡역점,서울특별시 강서구 화곡로 160(화곡동),,
경기,고양삼송시티점,경기도 고양시 덕양구 동송로,37.6468726,126.8986919
서울,월곡두산점,서울특별시 성북구 오패산로 46월곡두산위브아파트,,
경기,평택대점,경기도 평택시 현신2길 8(용이동),,
서울,공덕오거리점,서울특별시 마포구 새창로 10(도화동),,
경기,수원영통구청점,경기도 수원시 영통구 효원로,37.2592996,127.0413686
전남,광양중동점,전라남도 광양시 공영로 74(중동),,
인천,인천가정지구점,인천광역시 서구 청중로478번길 7(가정동),,
경기,지행역점,경기도 동두천시 지행로 64(지행동),,
전북,전주아중점,전라북도 전주시 덕진구 무삼지로,35.8324755,127.1629775
강원,춘천석사점,"강원도 춘천시 퇴계농공로 22,",37.84903,127.7438527
인천,가정역점,인천광역시 서구 봉오재3로 90(가정동),,
경기,수원정자점,경기도 수원시 장안구 대평로,37.3003516,126.9901028
경기,광명하안점,경기도 광명시 하안로 310(하안동),37.4626936,126.8793965
인천,구월아시아드점,인천광역시 남동구 선수촌공원로 25(구월동),,
서울,은행사거리점,"서울특별시 노원구 한글비석로 270,",37.6378219,127.0715793
경기,김포초당마을점,경기도 김포시 김포한강2로 88(장기동),37.63973955,126.67138568983825
전북,군산지곡점,전라북도 군산시 신지길 10(지곡동),35.95896985,126.70469716305814
부산,온천장점,부산광역시 동래구 온천장로 52(온천동),,
경남,내서호계점,경상남도 창원시 마산회원구 내서읍,35.246768,128.5076326
경기,안산초지점,경기도 안산시 단원구 광덕1로,37.3076705,126.832499
경기,동탄능동점,경기도 화성시 동탄지성로 140,37.2255705,127.0481439
경기,용인역북점,경기도 용인시 처인구 명지로60번길,37.2301816,127.186715
서울,잠실레이크팰리스점,서울특별시 송파구 석촌호수로 140(삼전동),,
인천,인천청천점,인천광역시 부평구 마장로 385(산곡동),37.511995999999996,126.70314652492877
경기,미사강변점,"경기도 하남시 미사강변대로 90,",37.5772999,127.1799316
부산,당리점,부산광역시 사하구 제석로 56(당리동),,
광주,전대후문점,광주광역시 북구 우치로90번길 8(용봉동),,
경기,경기광주신현점,경기도 광주시 오포읍 신현로,37.3602259,127.1500263
서울,서초법원점,서울특별시 서초구 서초대로 271(서초동),37.4957082,127.019902
부산,괴정역점,부산광역시 사하구 사하로 184(괴정동),,
경기,파주교하점,"경기도 파주시 청석로 264,",37.7332067,126.7194411
경기,동탄카림3차점,"경기도 화성시 동탄순환대로12길 85,",37.1676823,127.1250719
경북,포항중앙점,경상북도 포항시 북구 중앙상가2길,36.03609,129.36447
경기,김포구래역점,"경기도 김포시 김포한강4로 487,",37.6382355,126.6790312
경기,수원권선중앙점,경기도 수원시 권선구 동수원로242번길,37.2507285,127.0362017
경기,오산고현점,경기도 오산시 남부대로 411-12(고현동),,
서울,연신내역점,서울특별시 은평구 통일로 855-15(갈현동),,
충남,아산용화점,충청남도 아산시 용화로 77(용화동),,
경북,구미역점,경상북도 구미시 구미중앙로13길 3(원평동),,
부산,부산허심청점,부산광역시 동래구 온천장로 125(온천동),,
전북,전주만성지구점,전라북도 전주시 덕진구 만성중앙로,35.841272,127.0759059
서울,신림프라임법학원점,서울특별시 관악구 신림로 90(신림동),,
전북,전주반월점,전라북도 전주시 덕진구 쪽구름로,35.8729631,127.0746256
대구,대구황금점,대구광역시 수성구 청수로26길 36(두산동),,
경기,미사중앙점,"경기도 하남시 미사강변중앙로 219,",37.5660348,127.1886164
서울,강동구청점,"서울특별시 강동구 성내로 11,",37.52893,127.12503
인천,경인교대입구역점,인천광역시 계양구 계양대로 156(계산동),,
충남,금산점,충청남도 금산군 금산읍 비단로,36.1095763,127.4831642
부산,명장점,부산광역시 동래구 명장로48번길 14(명장동),,
충남,당진현대제철점,충청남도 당진시 송산면 가곡로,,
경기,수원호매실점,경기도 수원시 권선구 금곡로196번길,37.2733774,126.954082
경기,수원천천점,경기도 수원시 장안구 덕영대로535번길,37.2976815,126.9828398
경기,구래신도시점,경기도 김포시 김포한강9로75번길 180두원타워,,
경기,김포장기점,경기도 김포시 김포한강1로51번길 28(장기동),,
경기,용인한숲시티점,경기도 용인시 처인구 남사면,,
서울,까치산역점,서울특별시 강서구 강서로 33(화곡동),,
경기,운정이마트점,경기도 파주시 미래로 371,37.728032,126.7517549
광주,수완점,광주광역시 광산구 장신로147번길 5-18(수완동),,
경기,상동로데오점,"경기도 부천시 상동로 79,",37.5042957,126.7525634
부산,주례보훈병원점,부산광역시 사상구 양지로 3대성아파트상가,,
경기,수지상현점,경기도 용인시 수지구 만현로,37.310401,127.0872415
인천,인천불로점,인천광역시 서구 검단로 842(불로동),37.6186274,126.6908971
서울,양천구청점,서울특별시 양천구 목동서로 389(신정동),,
경기,수원망포점,경기도 수원시 영통구 태장로,37.2390588,127.0512328
경기,배곧로얄팰리스점,"경기도 시흥시 서울대학로264번길 26-11,106호(정왕동)",,
강원,춘천명동점,강원도 춘천시 명동길 6-2(중앙로2가),,
인천,인천간석올리브점,인천광역시 남동구 석산로 156(간석동),,
경기,일산원당시장점,경기도 고양시 덕양구 호국로790번길,37.6548925,126.8379524
인천,인천함박마을점,인천광역시 연수구 비류대로433번길 10(연수동),,
인천,인천서구청점,인천광역시 서구 탁옥로51번길 2(심곡동),,
경기,구리역점,"경기도 구리시 건원대로34번길 17,",37.6047484,127.141212
인천,인천용현점,인천광역시 미추홀구 낙섬중로 43(용현동),,
경기,김포풍무점,"경기도 김포시 풍무로146번길 18,",37.6077015,126.7265989
전남,여수무선점,전라남도 여수시 화산로 131(화장동),,
충남,당진기지시점,충청남도 당진시 송악읍 반촌로,36.896862,126.7066178
강원,강릉유천지구점,강원도 강릉시 선수촌로63번길 14-16(홍제동),37.7577802,128.8692349
제주,제주516도로점,제주특별자치도 서귀포시 516로 188(토평동),,
인천,인천연수점,인천광역시 연수구 먼우금로 190(연수동),,
